seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,ipfs_add,true,32,1783269583863,149047,,true
2,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_posttask,true,2,1783269583895,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_postallocation,true,2,1783269583897,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783269583899,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_vote1,true,1,1783269583900,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_vote2,true,2,1783269583901,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_settlement,true,1,1783269583903,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,signed_query_latest,true,0,1783269583904,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T163943.852833312Z-c4-real-warmup-0000,ipfs_verify,true,7,1783269583904,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,ipfs_add,true,24,1783269583915,23072,,false
11,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_posttask,true,3,1783269583939,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
12,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_postallocation,true,2,1783269583942,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
13,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_post_evalsnapshot,true,2,1783269583944,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
14,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_vote1,true,1,1783269583946,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
15,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_vote2,true,2,1783269583947,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
16,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_settlement,true,1,1783269583949,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
17,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,signed_query_latest,true,0,1783269583950,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
18,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0032,ipfs_verify,true,6,1783269583950,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
19,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,ipfs_add,true,41,1783269583915,100643,,false
20,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_posttask,true,2,1783269583956,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
21,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_postallocation,true,2,1783269583958,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
22,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_post_evalsnapshot,true,1,1783269583960,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
23,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_vote1,true,2,1783269583961,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
24,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_vote2,true,2,1783269583963,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
25,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_settlement,true,2,1783269583965,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
26,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,signed_query_latest,true,0,1783269583967,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
27,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0009,ipfs_verify,true,7,1783269583967,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,false
28,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,ipfs_add,true,59,1783269583915,138253,,false
29,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_posttask,true,3,1783269583974,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
30,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_postallocation,true,1,1783269583977,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
31,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_post_evalsnapshot,true,2,1783269583978,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
32,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_vote1,true,1,1783269583980,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
33,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_vote2,true,2,1783269583981,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
34,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_settlement,true,1,1783269583983,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
35,e6-lifecycle-20260705T163943.852833312Z-c4-real-task-0020,signed_query_latest,true,0,1783269583984,0,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,false
