seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,ipfs_add,true,31,1783311771508,2041,,true
2,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_posttask,true,3,1783311771539,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
3,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_postallocation,true,2,1783311771542,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
4,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783311771544,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
5,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_vote1,true,2,1783311771545,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
6,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_vote2,true,1,1783311771547,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
7,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_settlement,true,2,1783311771548,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
8,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,signed_query_latest,true,0,1783311771550,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
9,e6-lifecycle-20260706T042251.490920785Z-c4-real-warmup-0000,ipfs_verify,true,7,1783311771550,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
10,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,ipfs_add,true,25,1783311771562,2041,,false
11,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_posttask,true,4,1783311771587,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
12,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_postallocation,true,2,1783311771591,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
13,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_post_evalsnapshot,true,2,1783311771593,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
14,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_vote1,true,1,1783311771595,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
15,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_vote2,true,2,1783311771596,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
16,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_settlement,true,1,1783311771598,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
17,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,signed_query_latest,true,0,1783311771599,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
18,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,ipfs_add,true,42,1783311771563,9851,,false
19,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0000,ipfs_verify,true,7,1783311771599,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
20,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,signed_posttask,true,2,1783311771605,0,QmV9rgZvcZKU4rPzj6kpzY1dYdbWXgNxb8v7XJGh6yCSZk,false
21,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,signed_postallocation,true,2,1783311771607,0,QmV9rgZvcZKU4rPzj6kpzY1dYdbWXgNxb8v7XJGh6yCSZk,false
22,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,signed_post_evalsnapshot,true,2,1783311771609,0,QmV9rgZvcZKU4rPzj6kpzY1dYdbWXgNxb8v7XJGh6yCSZk,false
23,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,signed_vote1,true,1,1783311771611,0,QmV9rgZvcZKU4rPzj6kpzY1dYdbWXgNxb8v7XJGh6yCSZk,false
24,e6-lifecycle-20260706T042251.490920785Z-c4-real-task-0082,signed_vote2,true,1,1783311771612,0,QmV9rgZvcZKU4rPzj6kpzY1dYdbWXgNxb8v7XJGh6yCSZk,false
