seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,ipfs_add,true,40,1783272754311,905155,,true
2,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_posttask,true,3,1783272754351,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
3,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_postallocation,true,2,1783272754354,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
4,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783272754356,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
5,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_vote1,true,2,1783272754357,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
6,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_vote2,true,1,1783272754359,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
7,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_settlement,true,2,1783272754360,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
8,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,signed_query_latest,true,0,1783272754362,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
9,e6-lifecycle-20260705T173234.292680488Z-c4-real-warmup-0000,ipfs_verify,true,13,1783272754362,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
10,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,ipfs_add,true,33,1783272754383,905155,,false
11,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_posttask,true,3,1783272754416,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
12,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_postallocation,true,2,1783272754419,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
13,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_post_evalsnapshot,true,1,1783272754421,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
14,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_vote1,true,2,1783272754422,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
15,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_vote2,true,1,1783272754424,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
16,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_settlement,true,2,1783272754425,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
17,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,signed_query_latest,true,0,1783272754427,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
18,e6-lifecycle-20260705T173234.292680488Z-c4-real-task-0000,ipfs_verify,true,13,1783272754427,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
