run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b3-m16-d5-f1-r1-pbft-groupingv2,b3-m16-d5-f1-r1,pbft,16,5,f1,1,1.0,626.807484,626.807484,626.807484,0.9375,479,181490,1,1,104.223209,0,0,0,0,,,,,False,263796548,108.64000000000001,1550470
b3-m16-d5-f1-r1-rgg-groupingv2,b3-m16-d5-f1-r1,rgg,16,5,f1,1,1.0,634.875193,634.875193,634.875193,0.9375,166,116635,1,1,99.060909,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,251465294,71.74000000000001,1142630
b3-m16-d5-f2-r1-pbft-groupingv2,b3-m16-d5-f2-r1,pbft,16,5,f2,1,1.0,676.561662,676.561662,676.561662,0.9375,638,226856,1,1,106.889415,0,0,0,0,,,,,False,268823421,102.04000000000002,1926490
b3-m16-d5-f2-r1-rgg-groupingv2,b3-m16-d5-f2-r1,rgg,16,5,f2,1,1.0,632.728375,632.728375,632.728375,0.9375,173,118629,1,1,95.751854,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,251589027,66.60000000000001,1154330
b3-m16-d5-f3-r1-pbft-groupingv2,b3-m16-d5-f3-r1,pbft,16,5,f3,1,1.0,677.657361,677.657361,677.657361,0.9375,524,194381,1,1,111.508239,0,0,0,0,,,,,False,266988413,106.47999999999999,1715810
b3-m16-d5-f3-r1-rgg-groupingv2,b3-m16-d5-f3-r1,rgg,16,5,f3,1,1.0,676.725681,676.725681,676.725681,0.9375,283,152646,1,1,84.51457,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,254608926,60.91000000000001,1362760
b3-m16-d5-f4-r1-pbft-groupingv2,b3-m16-d5-f4-r1,pbft,16,5,f4,1,1.0,672.854262,672.854262,672.854262,1.0,644,228661,1,1,96.870265,0,0,0,0,,,,,False,268248802,99.32000000000002,1954420
b3-m16-d5-f4-r1-rgg-groupingv2,b3-m16-d5-f4-r1,rgg,16,5,f4,1,1.0,666.956826,666.956826,666.956826,1.0,243,153780,1,1,138.619345,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253141965,82.09,1292660
b3-m16-d5-f2l-r1-rgg-groupingv2,b3-m16-d5-f2l-r1,rgg,16,5,f2l,1,1.0,678.942212,678.942212,678.942212,0.9375,280,151767,1,1,88.009994,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,254149648,65.23000000000002,1357200
b3-m16-d5-f5-r1-rgg-groupingv2,b3-m16-d5-f5-r1,rgg,16,5,f5,1,1.0,1133.132625,1133.132625,1133.132625,1.0,195,139095,2,1,609.212724,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253997604,97.31,1570480
