run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b4-m16-d5-f1-r1-pbft-groupingv2,b4-m16-d5-f1-r1,pbft,16,5,f1,1,1.0,651.41224,651.41224,651.41224,0.9375,479,181505,1,1,130.675404,0,0,0,0,,,,,False,265497337,110.08,1625250
b4-m16-d5-f1-r1-rgg-groupingv2,b4-m16-d5-f1-r1,rgg,16,5,f1,1,1.0,622.086049,622.086049,622.086049,0.9375,166,116639,1,1,84.433754,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,251410767,75.70000000000002,1112690
b4-m16-d5-f2-r1-pbft-groupingv2,b4-m16-d5-f2-r1,pbft,16,5,f2,1,1.0,703.012505,703.012505,703.012505,0.9375,638,226871,1,1,114.867023,0,0,0,0,,,,,False,267529479,102.58,1901350
b4-m16-d5-f2-r1-rgg-groupingv2,b4-m16-d5-f2-r1,rgg,16,5,f2,1,1.0,642.216236,642.216236,642.216236,0.9375,173,118628,1,1,93.01742,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,252941687,72.7,1153290
b4-m16-d5-f3-r1-pbft-groupingv2,b4-m16-d5-f3-r1,pbft,16,5,f3,1,1.0,681.293433,681.293433,681.293433,0.9375,524,194381,1,1,112.989711,0,0,0,0,,,,,False,268915693,114.57999999999998,1736170
b4-m16-d5-f3-r1-rgg-groupingv2,b4-m16-d5-f3-r1,rgg,16,5,f3,1,1.0,760.378388,760.378388,760.378388,0.9375,283,152643,1,1,102.034742,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,0,0.0,0
b4-m16-d5-f4-r1-pbft-groupingv2,b4-m16-d5-f4-r1,pbft,16,5,f4,1,1.0,790.062825,790.062825,790.062825,1.0,645,228933,1,1,167.098743,0,0,0,0,,,,,False,0,0.0,0
b4-m16-d5-f4-r1-rgg-groupingv2,b4-m16-d5-f4-r1,rgg,16,5,f4,1,1.0,739.296021,739.296021,739.296021,1.0,244,154020,1,1,204.334458,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,0,0.0,0
b4-m16-d5-f2l-r1-rgg-groupingv2,b4-m16-d5-f2l-r1,rgg,16,5,f2l,1,1.0,719.124795,719.124795,719.124795,0.9375,277,150914,1,1,100.149492,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,6987710,21.03,245000
b4-m16-d5-f5-r1-rgg-groupingv2,b4-m16-d5-f5-r1,rgg,16,5,f5,1,1.0,1160.663634,1160.663634,1160.663634,1.0,195,139067,2,1,641.619579,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,252763429,110.45,1433800
