run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b5-m16-d5-none-r1-pbft-groupingv2,b5-m16-d5-none-r1,pbft,16,5,none,1,1.0,62.586116,78.204232,78.204232,1.0,9900,2826450,0,0,,0,0,0,0,,,,,False,298696302,477.05999999999995,15906000
b5-m16-d5-none-r1-rgg-groupingv2,b5-m16-d5-none-r1,rgg,16,5,none,1,1.0,68.652986,74.685866,74.685866,1.0,3780,2415146,0,0,,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,262561325,307.21999999999997,5056590
b5-m20-d5-none-r1-pbft-groupingv2,b5-m20-d5-none-r1,pbft,20,5,none,1,1.0,82.247867,111.323541,111.323541,1.0,15580,4449610,0,0,,0,0,0,0,,,,,False,344404778,454.44000000000005,6285970
b5-m20-d5-none-r1-rgg-groupingv2,b5-m20-d5-none-r1,rgg,20,5,none,1,1.0,74.03951,84.350393,84.350393,1.0,5460,3181399,0,0,,0,0,0,0,"2,10,13,11,5,1,16,0,9,17,12,6,18,14,3,8,19,7,15,4","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 0, ""19"": 0, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 3, ""7"": 1, ""8"": 3, ""9"": 0}","{""0"": 2, ""1"": 10, ""2"": 13, ""3"": 11}","[2, 10, 13, 11]",True,325588082,364.86,5443910
b5-m24-d5-none-r1-pbft-groupingv2,b5-m24-d5-none-r1,pbft,24,5,none,1,1.0,104.762168,138.748386,138.748386,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,426330017,497.1500000000001,9500150
b5-m24-d5-none-r1-rgg-groupingv2,b5-m24-d5-none-r1,rgg,24,5,none,1,1.0,82.942144,90.754257,90.754257,1.0,7460,4038081,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,391669336,321.05999999999995,5809130
b5-m24-d0-none-r1-pbft-groupingv2,b5-m24-d0-none-r1,pbft,24,0,none,1,1.0,105.068466,140.376677,140.376677,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,425890664,472.4299999999999,9047060
b5-m24-d0-none-r1-rgg-groupingv2,b5-m24-d0-none-r1,rgg,24,0,none,1,1.0,61.422599,69.605666,69.605666,1.0,7460,4044623,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,389744152,323.77,6044030
b5-m24-d20-none-r1-pbft-groupingv2,b5-m24-d20-none-r1,pbft,24,20,none,1,1.0,144.66021,156.618856,156.618856,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,424761345,463.96,8093970
b5-m24-d20-none-r1-rgg-groupingv2,b5-m24-d20-none-r1,rgg,24,20,none,1,1.0,180.824863,189.985629,189.985629,1.0,7460,4038098,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,402092182,212.66,22909000
