Loading checkpoint shards:   0%|                                                                                                                                                | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|████████████████████████████████████████████████████████████████████                                                                    | 1/2 [00:01<00:01,  1.47s/it]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.32s/it]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.34s/it]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"written": 1, "sample_id": "mm-safetybench:01-Illegal_Activitiy:7:SD", "latency_ms": 15845.1, "peak_vram_gib": 8.55}
{"written": 2, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:SD", "latency_ms": 16634.1, "peak_vram_gib": 8.549}
{"written": 3, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:SD_TYPO", "latency_ms": 13487.8, "peak_vram_gib": 8.535}
{"written": 4, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:TYPO", "latency_ms": 10444.0, "peak_vram_gib": 8.387}
{"written": 5, "sample_id": "mm-safetybench:01-Illegal_Activitiy:39:SD", "latency_ms": 18165.5, "peak_vram_gib": 8.559}
{"written": 6, "sample_id": "mm-safetybench:01-Illegal_Activitiy:88:SD", "latency_ms": 11241.2, "peak_vram_gib": 8.551}
{"written": 7, "sample_id": "mm-safetybench:01-Illegal_Activitiy:92:SD", "latency_ms": 14325.6, "peak_vram_gib": 8.551}
{"written": 8, "sample_id": "mm-safetybench:02-HateSpeech:8:SD_TYPO", "latency_ms": 13431.1, "peak_vram_gib": 8.539}
{"written": 9, "sample_id": "mm-safetybench:02-HateSpeech:8:TYPO", "latency_ms": 17721.0, "peak_vram_gib": 8.444}
{"written": 10, "sample_id": "mm-safetybench:02-HateSpeech:19:SD_TYPO", "latency_ms": 14643.9, "peak_vram_gib": 8.541}
{"written": 11, "sample_id": "mm-safetybench:02-HateSpeech:19:TYPO", "latency_ms": 15027.9, "peak_vram_gib": 8.425}
{"written": 12, "sample_id": "mm-safetybench:02-HateSpeech:87:SD", "latency_ms": 16255.2, "peak_vram_gib": 8.548}
{"written": 13, "sample_id": "mm-safetybench:02-HateSpeech:87:SD_TYPO", "latency_ms": 16043.6, "peak_vram_gib": 8.54}
{"written": 14, "sample_id": "mm-safetybench:02-HateSpeech:87:TYPO", "latency_ms": 18264.4, "peak_vram_gib": 8.44}
{"written": 15, "sample_id": "mm-safetybench:02-HateSpeech:112:SD_TYPO", "latency_ms": 15424.6, "peak_vram_gib": 8.539}
{"written": 16, "sample_id": "mm-safetybench:02-HateSpeech:112:TYPO", "latency_ms": 14944.1, "peak_vram_gib": 8.422}
{"written": 17, "sample_id": "mm-safetybench:02-HateSpeech:118:SD", "latency_ms": 41597.5, "peak_vram_gib": 8.721}
{"written": 18, "sample_id": "mm-safetybench:02-HateSpeech:118:SD_TYPO", "latency_ms": 42370.4, "peak_vram_gib": 8.715}
{"written": 19, "sample_id": "mm-safetybench:02-HateSpeech:118:TYPO", "latency_ms": 14437.1, "peak_vram_gib": 8.413}
{"written": 20, "sample_id": "mm-safetybench:02-HateSpeech:138:SD", "latency_ms": 19982.6, "peak_vram_gib": 8.582}
{"written": 21, "sample_id": "mm-safetybench:02-HateSpeech:138:SD_TYPO", "latency_ms": 36455.1, "peak_vram_gib": 8.677}
{"written": 22, "sample_id": "mm-safetybench:02-HateSpeech:138:TYPO", "latency_ms": 28834.5, "peak_vram_gib": 8.516}
{"written": 23, "sample_id": "mm-safetybench:03-Malware_Generation:2:SD", "latency_ms": 15555.5, "peak_vram_gib": 8.547}
{"written": 24, "sample_id": "mm-safetybench:03-Malware_Generation:3:SD", "latency_ms": 13464.7, "peak_vram_gib": 8.547}
{"written": 25, "sample_id": "mm-safetybench:03-Malware_Generation:3:SD_TYPO", "latency_ms": 17858.6, "peak_vram_gib": 8.555}
{"written": 26, "sample_id": "mm-safetybench:03-Malware_Generation:3:TYPO", "latency_ms": 15189.5, "peak_vram_gib": 8.425}
{"written": 27, "sample_id": "mm-safetybench:03-Malware_Generation:19:SD", "latency_ms": 17430.6, "peak_vram_gib": 8.555}
{"written": 28, "sample_id": "mm-safetybench:03-Malware_Generation:19:SD_TYPO", "latency_ms": 26609.0, "peak_vram_gib": 8.617}
{"written": 29, "sample_id": "mm-safetybench:03-Malware_Generation:38:SD_TYPO", "latency_ms": 13373.0, "peak_vram_gib": 8.539}
{"written": 30, "sample_id": "mm-safetybench:03-Malware_Generation:38:TYPO", "latency_ms": 12447.1, "peak_vram_gib": 8.399}
