seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,ipfs_add,True,,36,1784131643020,149047,,True
2,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_post_task,True,,2565,1784131643056,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_post_allocation,True,,2585,1784131645622,0,,True
4,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_post_snapshot,True,,2557,1784131648207,0,,True
5,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_query_confirmation,True,,452,1784131650764,0,,True
6,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_vote_1,True,,2601,1784131651216,0,,True
7,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_vote_2,True,,2541,1784131653817,0,,True
8,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_settlement,True,,2556,1784131656358,0,,True
9,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,fabric_query_final,True,,1557,1784131658914,0,,True
10,e10-resource-c8-r1,e10-resource-c8-r1-warmup-0000,ipfs_verify,True,,9,1784131660471,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,ipfs_add,True,,77,1784131660481,149047,,False
12,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,ipfs_add,True,,89,1784131660486,208548,,False
13,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,ipfs_add,True,,110,1784131660482,234739,,False
14,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,ipfs_add,True,,125,1784131660485,243938,,False
15,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,ipfs_add,True,,143,1784131660485,293643,,False
16,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,ipfs_add,True,,165,1784131660484,227419,,False
17,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,ipfs_add,True,,180,1784131660490,252663,,False
18,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,ipfs_add,True,,205,1784131660483,243506,,False
19,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_post_task,True,,2661,1784131660558,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
20,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,fabric_post_task,True,,2535,1784131660688,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
21,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_post_task,True,,2614,1784131660610,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
22,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_post_task,True,,2556,1784131660670,252663,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
23,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_post_task,True,,2636,1784131660592,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
24,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_post_task,True,,2600,1784131660628,293643,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
25,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_post_task,True,,2579,1784131660649,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
26,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_post_task,True,,2654,1784131660575,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
27,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_post_allocation,True,,2423,1784131663228,0,,False
28,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_post_allocation,True,,2423,1784131663229,0,,False
29,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_post_allocation,True,,2436,1784131663219,0,,False
30,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_post_allocation,True,,2427,1784131663228,0,,False
31,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_post_allocation,True,,2432,1784131663224,0,,False
32,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_post_allocation,True,,2430,1784131663226,0,,False
33,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_post_allocation,True,,2429,1784131663228,0,,False
