scenario,strategy,count,honest_p,byz_exploit_p,obs_error_p,cold_start_exclusion_rate,post_exposure_miss_rate,mean_post_exposure_first_exclusion_delay,p50_post_exposure_first_exclusion_delay,p95_post_exposure_first_exclusion_delay,mean_stable_h3_delay,stable_h3_miss_rate,mean_stable_h5_delay,stable_h5_miss_rate,mean_post_attack_miss_rate,mean_re_entry_count,mean_honest_demotion_rate,mean_byzantine_leader_rounds
P_T1_h095_b020_e00,cumulative,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3489583333333333,0.0,0.3489583333333333,0.0,0.006526315789473685,0.01,0.4328481899843002,5.57
P_T1_h095_b020_e00,decay-90,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3333333333333333,0.0,0.3333333333333333,0.0,0.006421052631578947,0.0,0.4549271440717703,5.56
P_T1_h095_b020_e00,decay-95,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3333333333333333,0.0,0.3333333333333333,0.0,0.006421052631578947,0.0,0.4548162216539881,5.56
P_T1_h095_b020_e00,decay-99,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3333333333333333,0.0,0.3333333333333333,0.0,0.006421052631578947,0.0,0.44596326871386943,5.56
P_T1_h095_b020_e00,sliding-w-10,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3489583333333333,0.0,0.3489583333333333,0.0,0.006526315789473685,0.01,0.47290450550872004,5.57
P_T1_h095_b020_e00,sliding-w-20,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3489583333333333,0.0,0.3489583333333333,0.0,0.006526315789473685,0.01,0.4695584504443511,5.57
P_T1_h095_b020_e00,sliding-w-5,100,0.95,0.2,0.0,0.04,0.0,0.3333333333333333,0,2,0.3333333333333333,0.0,0.3333333333333333,0.0,0.006526315789473685,0.01,0.473132336493774,5.57
P_T1_h095_b020_e02,cumulative,100,0.95,0.2,0.02,0.05,0.0,0.21052631578947367,0,1,0.22105263157894736,0.0,0.22105263157894736,0.0,0.0036842105263157894,0.01,0.44509579056736454,5.15
P_T1_h095_b020_e02,decay-90,100,0.95,0.2,0.02,0.05,0.0,0.21052631578947367,0,1,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0035789473684210526,0.0,0.46603287107565117,5.14
P_T1_h095_b020_e02,decay-95,100,0.95,0.2,0.02,0.05,0.0,0.21052631578947367,0,1,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0035789473684210526,0.0,0.46535945674245677,5.14
