run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
e7-s0-r0,e7-s0-r0,rgg,16,5,none,0,1.0,74.275015,83.927168,83.927168,1.0,3780,2413142,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,236501065,68.98,1002533
e7-s0-r1,e7-s0-r1,rgg,16,5,none,1,1.0,69.766504,81.049767,81.049767,1.0,3780,2413169,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,243694299,68.35,1049871
e7-s0-r2,e7-s0-r2,rgg,16,5,none,2,1.0,69.534616,81.366341,81.366341,1.0,3780,2413174,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,242195881,71.5,1258648
e7-s0-r3,e7-s0-r3,rgg,16,5,none,3,1.0,70.147025,81.328251,81.328251,1.0,3780,2413166,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,243028453,74.33,1280620
e7-s0-r4,e7-s0-r4,rgg,16,5,none,4,1.0,73.601122,77.663641,77.663641,1.0,3780,2413179,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,243544351,50.209999999999994,853951
e7-s5-r0,e7-s5-r0,rgg,16,5,none,0,1.0,73.201035,77.930201,77.930201,1.0,3780,2413134,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,241868727,49.260000000000005,834530
e7-s5-r1,e7-s5-r1,rgg,16,5,none,1,1.0,73.890286,76.467245,76.467245,1.0,3780,2413139,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,244067589,50.74,838260
e7-s5-r2,e7-s5-r2,rgg,16,5,none,2,1.0,73.225318,76.731855,76.731855,1.0,3780,2413152,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,230625897,17.020000000000003,463325
e7-s5-r3,e7-s5-r3,rgg,16,5,none,3,1.0,70.315257,86.993182,86.993182,1.0,3780,2413150,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,241303546,62.650000000000006,1059622
e7-s5-r4,e7-s5-r4,rgg,16,5,none,4,1.0,69.241195,73.202119,73.202119,1.0,3780,2413141,0,0,,0,0,0,0,"9,3,0,6,4,11,13,14,5,2,10,7,1,12,8,15","{""0"": 2, ""1"": 0, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 3, ""15"": 3, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 0}","{""0"": 9, ""1"": 3, ""2"": 0, ""3"": 6}","[9, 3, 0, 6]",True,242689760,67.36000000000001,1206244
