label,profile,nodes,protocol,total,completed,completion_rate,netem_verified,safety_violations,mean_view_changes,mean_p50_ms
N0_M16_pbft,N0,16,pbft,1,1,1.0000,0,0,0.0,71.4
N0_M16_rgg,N0,16,rgg,1,1,1.0000,0,0,0.0,69.5
N0_M24_pbft,N0,24,pbft,1,1,1.0000,0,0,0.0,142.9
N0_M24_rgg,N0,24,rgg,1,1,1.0000,0,0,0.0,85.6
N1_M16_pbft,N1,16,pbft,1,1,1.0000,1,0,0.0,188.6
N1_M16_rgg,N1,16,rgg,1,1,1.0000,1,0,0.0,404.3
N1_M24_pbft,N1,24,pbft,1,1,1.0000,1,0,0.0,274.2
N1_M24_rgg,N1,24,rgg,1,1,1.0000,1,0,0.0,519.1
N2_M16_pbft,N2,16,pbft,1,1,1.0000,1,0,0.0,367.5
N2_M16_rgg,N2,16,rgg,1,1,1.0000,1,0,0.0,744.1
N2_M24_pbft,N2,24,pbft,1,1,1.0000,1,0,0.0,528.6
N2_M24_rgg,N2,24,rgg,1,1,1.0000,1,0,0.0,951.0
N3_M16_pbft,N3,16,pbft,1,1,1.0000,1,0,0.0,900.9
N3_M16_rgg,N3,16,rgg,1,1,1.0000,1,0,0.0,1786.0
N3_M24_pbft,N3,24,pbft,1,1,1.0000,1,0,0.0,1300.6
N3_M24_rgg,N3,24,rgg,1,1,1.0000,1,0,0.0,2273.8
